step,w. mask,w.o. mask,provenance
0,0.157610,0.151167,reconstructed_from_paper
1,0.158837,0.128728,reconstructed_from_paper
2,0.174369,0.129777,reconstructed_from_paper
3,0.151665,0.124179,reconstructed_from_paper
4,0.169883,0.137105,reconstructed_from_paper
5,0.154006,0.143676,reconstructed_from_paper
6,0.181898,0.140402,reconstructed_from_paper
7,0.175760,0.135559,reconstructed_from_paper
8,0.186044,0.148580,reconstructed_from_paper
9,0.172228,0.143121,reconstructed_from_paper
10,0.180526,0.146653,reconstructed_from_paper
11,0.176144,0.131058,reconstructed_from_paper
12,0.173625,0.148706,reconstructed_from_paper
13,0.181806,0.132791,reconstructed_from_paper
14,0.171708,0.136302,reconstructed_from_paper
15,0.180062,0.152011,reconstructed_from_paper
16,0.189616,0.181189,reconstructed_from_paper
17,0.185659,0.166618,reconstructed_from_paper
18,0.183082,0.153721,reconstructed_from_paper
19,0.205056,0.152414,reconstructed_from_paper
20,0.189192,0.170445,reconstructed_from_paper
21,0.185230,0.177411,reconstructed_from_paper
22,0.192409,0.176392,reconstructed_from_paper
23,0.188169,0.157554,reconstructed_from_paper
24,0.190499,0.164221,reconstructed_from_paper
25,0.192018,0.158090,reconstructed_from_paper
26,0.212271,0.160015,reconstructed_from_paper
27,0.197509,0.153153,reconstructed_from_paper
28,0.200003,0.163095,reconstructed_from_paper
29,0.205272,0.137110,reconstructed_from_paper
30,0.217303,0.152029,reconstructed_from_paper
31,0.200678,0.176552,reconstructed_from_paper
32,0.198786,0.158451,reconstructed_from_paper
33,0.224893,0.180692,reconstructed_from_paper
34,0.194747,0.155662,reconstructed_from_paper
35,0.204824,0.170121,reconstructed_from_paper
36,0.214444,0.182291,reconstructed_from_paper
37,0.228734,0.162969,reconstructed_from_paper
38,0.204231,0.168795,reconstructed_from_paper
39,0.193783,0.215616,reconstructed_from_paper
40,0.219881,0.171620,reconstructed_from_paper
41,0.211806,0.172434,reconstructed_from_paper
42,0.214279,0.175478,reconstructed_from_paper
43,0.222478,0.185308,reconstructed_from_paper
44,0.221994,0.185580,reconstructed_from_paper
45,0.223957,0.201159,reconstructed_from_paper
46,0.219612,0.199524,reconstructed_from_paper
47,0.234816,0.183495,reconstructed_from_paper
48,0.237989,0.185249,reconstructed_from_paper
49,0.227660,0.171160,reconstructed_from_paper
50,0.225250,0.171048,reconstructed_from_paper
51,0.236201,0.182943,reconstructed_from_paper
52,0.235633,0.205022,reconstructed_from_paper
53,0.224970,0.197294,reconstructed_from_paper
54,0.231100,0.208073,reconstructed_from_paper
55,0.244670,0.211052,reconstructed_from_paper
56,0.237007,0.196197,reconstructed_from_paper
57,0.236653,0.229596,reconstructed_from_paper
58,0.242495,0.192985,reconstructed_from_paper
59,0.242045,0.192470,reconstructed_from_paper
60,0.243816,0.196202,reconstructed_from_paper
61,0.229919,0.219550,reconstructed_from_paper
62,0.260890,0.202223,reconstructed_from_paper
63,0.250028,0.194486,reconstructed_from_paper
64,0.242960,0.212170,reconstructed_from_paper
65,0.259354,0.223033,reconstructed_from_paper
66,0.255537,0.206077,reconstructed_from_paper
67,0.254759,0.204918,reconstructed_from_paper
68,0.264557,0.224891,reconstructed_from_paper
69,0.275819,0.224263,reconstructed_from_paper
70,0.263721,0.224538,reconstructed_from_paper
71,0.273537,0.200878,reconstructed_from_paper
72,0.279680,0.216660,reconstructed_from_paper
73,0.255823,0.218576,reconstructed_from_paper
74,0.261374,0.188463,reconstructed_from_paper
75,0.273341,0.232132,reconstructed_from_paper
76,0.255039,0.217111,reconstructed_from_paper
77,0.268138,0.211548,reconstructed_from_paper
78,0.282193,0.249555,reconstructed_from_paper
79,0.281771,0.219985,reconstructed_from_paper
80,0.279636,0.208311,reconstructed_from_paper
81,0.261413,0.218425,reconstructed_from_paper
82,0.296957,0.228100,reconstructed_from_paper
83,0.284131,0.232365,reconstructed_from_paper
84,0.287434,0.220605,reconstructed_from_paper
85,0.286828,0.209746,reconstructed_from_paper
86,0.270711,0.212817,reconstructed_from_paper
87,0.274532,0.211776,reconstructed_from_paper
88,0.277846,0.209090,reconstructed_from_paper
89,0.304489,0.224513,reconstructed_from_paper
90,0.284060,0.218446,reconstructed_from_paper
